question,choice
1,Pickles & Swiss
1,Blue Owl
1,Goa tacos
1,Blue Owl
1,Pickles & Swiss
1,South Coast Deli
1,Kyle's Kitchen
1,Blue Owl
1,Blue Owl
1,The Honey B Kitchen
1,South Coast Deli
1,Blue Owl
1,The Honey B Kitchen
1,Chipotle
1,Ana's Tacos
1,Panino
1,Chipotle
1,The habit
1,Panino
1,Savoy
1,Savoy
1,Romanti-Ezer
1,Chipotle
2,Kanaloa Seafood
2,C'est Cheese
2,Blue Owl
2,Kanaloa
2,Sushi Thyme
2,Tamira
2,Blue Owl
2,Blue Owl
2,Kanaloa
2,Kyle's Kitchen
2,Natural Cafe
2,Savoy Cafe
2,Paseo Nuevo
2,Savoy Cafe
2,The Honey B Kitchen
2,Empty Bowl
2,Tamira
2,Kanaloa
2,Paradise Cafe
2,Goa Taco
2,Tamira 
3,The Good Lion
3,Brathaus
3,Wine Therapy
3,Lama Dog
3,Mel's
3,Elsie's
3,Milk and Honey
3,Villa
3,Wine Therapy
3,Wine Cask
3,Dargan's pub
3,Fishouse
3,Elsie's
3,Milk and Honey
3,Elsie's
3,Eureka
3,Armada
3,Wine Therapy
3,brown bags at the beach
3,Wine Therapy
4,Milk and Honey
4,Sama Sama
4,Cadiz
4,The Lark
4,Barbareno
4,Yellow Belly
4,Empty Bowl
4,The Lark
4,Loquita
4,Brophy Brother's
4,Tamira
4,Arigato
4,Mesa Verde
4,The Palace
4,Public Market
4,Arigato
4,Opal
4,Eureka
4,Public Market
4,Himalayan Kitchen
5,Wine Therapy
5,Deep Sea
5,Area 5.1
5,Valley Project
5,Municipal Winemakers
5,Deep Sea
5,Margerum
5,Riverbench
5,Oreana
5,Grassini
5,6th floor balcony--BYOWine
5,Armada
5,Deep Sea
6,Telegraph
6,Figueroa Mt Brewing Co.
6,Pure Order
6,Figueroa Mt Brewing Co.
6,Topa Topa
6,Pure Order
6,Lama Dog
6,Island Brewing Company
6,Figueroa Mt Brewing Co.
6,Third Window
6,Brewhouse
6,Telegraph
6,Third Window
6,Figueroa Mt Brewing Co.
6,Santa Barbara Cider Company
7,Milk and Honey
7,The Brewhouse
7,"Opal (specifically, the cheesecake)"
7,Cuernavaca
7,Third Window Brewery
7,Honey bee
7,Foxtail on Cota
7,Your Choice
7,Winchell's
7,Elsie's
7,TAP Thai
7,Convivo happy hour
7,Wine Therapy
8,The Lark
8,Finch and Fork
8,Lily's Tacos
8,Pascucci
8,Natural Cafe
8,El Paseo
8,Chipotle 
8,Wine Therapy
8,The Lark
8,Figueroa Mt Brewing Co.